127.0.0.1 - - [07/Mar/2023:10:09:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:09:57 +0900] "GET /jsp04/delete.jsp HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:09:57 +0900] "GET /jsp04/js/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:09:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:10:02 +0900] "GET /jsp04/login.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:10:02 +0900] "GET /js/jquery-3.6.3.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:10:26 +0900] "GET /jsp04/delete.jsp HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:10:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:34:07 +0900] "GET /jsp04/modify.jsp HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:34:07 +0900] "GET /css/layout.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:34:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:26 +0900] "GET /jsp04/info.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:26 +0900] "GET /css/layout.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:28 +0900] "GET /jsp04/info.jsp HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:28 +0900] "GET /css/layout.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:54 +0900] "GET /jsp04/include/header.jsp HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:54 +0900] "GET /jsp04/include/css/common.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:54 +0900] "GET /jsp04/include/css/reset.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:54 +0900] "GET /jsp04/include/css/layout.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:54 +0900] "GET /jsp04/include/js/jquery-3.6.3.min.js HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:56 +0900] "GET /jsp04/include/header.jsp HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [07/Mar/2023:10:38:56 +0900] "GET /jsp04/include/css/reset.css HTTP/1.1" 404 846
